Name,Star Rating,Verifed Review,Helpful Vote Count,Date,Author,Author Link,Review Link,Review Text
In a good,5,YES,0," May 13, 2017",Kyle K.,https://amazon.com//gp/profile/amzn1.account.AG4YE4M35RK6QFDQY52KUF77DBCQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3H1ZZPINEBCKU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,This thing is frightening the first time you open it. In a good way
Fantastic.,5,YES,0," September 1, 2017",Nicholas Wener,https://amazon.com//gp/profile/amzn1.account.AFKHLUAQSJMWSZD5APXX2EBOND7A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2LWPENTX2BBF3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"This is an umbrella from the future. I LOVE IT. If you are considering to purchase one, don't hesitate."
Five Stars,5,YES,0," July 14, 2017",Bob,https://amazon.com//gp/profile/amzn1.account.AHSTF4BMEKZQVRXQJCJO2UG6BYWA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3EP1JJ2FKZOAS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Just as promised
Five Stars,5,YES,0," June 22, 2018",D. Casceoli,https://amazon.com//gp/profile/amzn1.account.AH22JE3HRSFYTOBADCVA6LMTJTQA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1VWU6QKJIH8T5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Really excellent build quality, from the release to the retract. Perfect for traveling, and keeping in my car."
It's sturdy with a heavy duty feel,5,YES,0," July 19, 2017",Brenda  M.,https://amazon.com//gp/profile/amzn1.account.AENOVRVV5NFYJCVLH4ZPECFZD4BA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R4O07T7XHEUAN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I give this product a  5 star. It's built very well. It's sturdy with a heavy duty feel; which gives me a peace of mind and the security of being kept dry while out in the rain using this umbrella. In two words "" GET ONE ! """
Best umbrella yet!!!,5,YES,0," May 17, 2018",mark,https://amazon.com//gp/profile/amzn1.account.AHEREHJVAQEJG44EFJFFB5FJLYIQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2HZJFXWQVKG7I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Living in the ‰ÛÏWindy City‰Û presents many challenges when it comes to weather. It‰Ûªs great to see a product live up to the challenge, highly recommend."
Five Stars,5,YES,0," August 30, 2017",Dennis D,https://amazon.com//gp/profile/amzn1.account.AGXZIOERTRJM3AXTLGTUQL3VT3WA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R39G2353H9UDJW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,great product
Five Stars,5,YES,0," April 10, 2017",Larry W. Harris,https://amazon.com//gp/profile/amzn1.account.AFVYXG3WMPZYN2DJNANIPJE3TSIQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1CAVPZPTQ1ZOE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,I love the umbrella.  It is small and light weight but opens into a big umbrella.
Five Stars,5,YES,0," July 12, 2017",Kay,https://amazon.com//gp/profile/amzn1.account.AGMND3OCWSFYY4WBXNE23RZ62XCA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RJ9EPTFOHK2JU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,A lot smaller than what is shown in pic.
Washington Tested! <3,5,YES,0," January 31, 2017",Eri B.,https://amazon.com//gp/profile/amzn1.account.AH5YPWYQDSKJA2FZEM25YZJ6AT4Q/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R13THKRH6L23L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Living in washington state.....this umbrella has definetly gotten some use.  It's compact enough to fit in my purse, it's very durable and water wicks right off making it drier to pack away when done!"
Just as stated by seller.,4,YES,0," January 15, 2017",J. Silva,https://amazon.com//gp/profile/amzn1.account.AFHL2ZQ7N66H5GVTFFC2XCA6XB3Q/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R12FUXJKFXH8UC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Thanks! Meet my expectations.
Perfect for what she needs,5,YES,0," August 16, 2016",SEH,https://amazon.com//gp/profile/amzn1.account.AFPPZTIENYQXPUPC4JGQVIBPHCSA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3CLFRN83DHDWE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,College-bound child is taking this to college. Perfect for what she needs! Thanks for prompt service.
Four Stars,4,YES,0," January 26, 2017",Jason,https://amazon.com//gp/profile/amzn1.account.AFGYFD3FIJQ34JCGQWCQYKVPRLPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RM858R7BAUHEJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Strong for wind
Looks very sturdy and opens easily,5,YES,0," March 31, 2018",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AFHNTSY732KRYGB2J5UDLR2QVN2Q/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/ROCS2V5E484UI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Looks very sturdy and opens easily.  Taking it on a long trail hike out west for sun protection.  We'll see how it goes.
but it certainly feels like it will handle the rain and wind,4,YES,0," April 7, 2018",Alison Batiste,https://amazon.com//gp/profile/amzn1.account.AHP5RXC7VWYKTQXMFAIS4XKNRUHQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1FDW8XVQ2P04B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"It was purchased as a gift not used as yet, but it certainly feels like it will handle the rain and wind.Heavier than I thought but that is an observation not a complaint."
It's one of those products that you hope that you don't have to use too often but you are glad you have it when you do,5,YES,0," June 7, 2017",Troy B.,https://amazon.com//gp/profile/amzn1.account.AHXJC7SYMBXGWVUSKHCGJZHCLBNQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1CWXZIYQVSN56/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,I just started working downtown and needed an umbrella for those rainy afternoons. The umbrella is compact and well built. It's one of those products that you hope that you don't have to use too often but you are glad you have it when you do.
Best Umbrella,5,YES,0," February 21, 2017",Rod Mac,https://amazon.com//gp/profile/amzn1.account.AF6PS637CJAI54UD5QZ7UAYPUPBQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1OCADPC0FIETY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Best umbrella I've ever owned. The button automatically opens the umbrella, and it also automatically closes the umbrella. Very convenient. Rain repels right off the umbrella, making it quick to dry. 5 stars."
Five Stars,5,YES,0," August 6, 2017",T. Rhodes,https://amazon.com//gp/profile/amzn1.account.AFWVRTZI2BWMTRIQW55BPZZUJP5A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1PQAYGP2F5XEA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Works. Used it twice. It has kept me dry.  Compact.  Seems well made.
Five Stars,5,YES,0," May 8, 2018",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AG2W6CQII77HLNC3O7UULKGKIQCQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3N8CG51B1LWVZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"high quality, durable. I've had this for a few months and it's never let me down."
Five Stars,5,YES,0," October 4, 2017",Gio1111,https://amazon.com//gp/profile/amzn1.account.AHLXS3NOCHBKPAYX2AEJPTWYSBUA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1LA5MFRS1E8HX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,It's a sturdy and well designed umbrella that stands up against wind and hard rain.
"Awesome quality, durable",5,YES,0," June 18, 2017",Marvin.dragon,https://amazon.com//gp/profile/amzn1.account.AGDAAO6NB6HITRBOACDKZHSLXSRQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1HP7KXAQSW2EW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Awesome quality, durable"
This is a nice umbrella. It's small enough for my bag,5,YES,0," January 16, 2017",Sean,https://amazon.com//gp/profile/amzn1.account.AHSJDY2EO24HQDRLONWHXHZPSZTQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R18KFRIKDEL8GN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"This is a nice umbrella.  It's small enough for my bag, but is still large enough to be effective."
My brother is delighted with this.,5,YES,0," August 28, 2017",Jake's Mom,https://amazon.com//gp/profile/amzn1.account.AGY3LT6ATQVFLMDW6P42QEMLYCCA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3J01RYYBGJ5YK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,The Repel Travel Umbrella was a gift for my brother. He loves it because it is clearly much more rugged and sturdy than his previous travel umbrella.
"Looks good, arrived very quickly",5,YES,0," July 3, 2017",John H. Miller,https://amazon.com//gp/profile/amzn1.account.AESM3HKANBV3WUUUZBITSYCOZWBA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2K4NJOA64CY3L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Arrived very quickly, looks very good, opens and closes as expected (or even more smoothly than expected).  It has not rained in the last couple of days, so cannot tell if it will keep me dry, but I trust that it will."
Excellent,5,YES,0," March 19, 2017",James A. Peterson Jr.,https://amazon.com//gp/profile/amzn1.account.AHKE4KHPFJHZT6AMHYRMBOWRYGTA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1FJMWFLWHIOKG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Excellent purchase, product is exactly as advertised. I would recommend to a friend. The shipping was timely, I received the umbrella just a few days after placing the order."
Five Stars,5,YES,0," April 18, 2016",Stephanie Doyle,https://amazon.com//gp/profile/amzn1.account.AEINKV4GR7J2PQBCDX7C5IJMQVEQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3792TENO6Q6D4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,What an excellent umbrella! Great for the crazy Chicago wind. Easy one button open and close. Highly recommend.
Five Stars,5,YES,0," January 12, 2017",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AH6O63K56YYAPS2HYSGQXA3A3FIA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R18QD52CEOKQ7U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Very good umbrella so far
Excellent product,5,YES,0," April 9, 2018",dgs,https://amazon.com//gp/profile/amzn1.account.AG43IDH5HLHUIVNWHFEGVVDDQPSQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3FBWWMHXH2NXF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Exactly as described and fast delivery.  Bought a second one because so pleased with the first,  now one for each car."
One Star,1,YES,0," February 1, 2017",Devon Skelton,https://amazon.com//gp/profile/amzn1.account.AFEB7Z3MEVGRRBTZKX4UALG6ZQCA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1QSE4JZO5FR6U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,broke when I put it on the side to dry it out
Good compact umbrella,5,YES,0," June 22, 2018",techguy,https://amazon.com//gp/profile/amzn1.account.AGFHYDO6O3B67RJQ2GBT3VZDFRYQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2FU7CP9EWZVT9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I haven't needed to use this umbrella yet, but the quality seems to be good. It's easy to open and close."
Easy to pack and carry,5,YES,0," January 25, 2018",marilou morales,https://amazon.com//gp/profile/amzn1.account.AHMMW6QNJFDBTHLVPFHQN4QWAMQA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1S8B1BVR6NL8J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Easy to pack and carry. I have used it during several rain storms and windy days and have had no problems.I am also very happy with the seller's interest and customer service.
Great very easy to use sturdy well worth the extra ...,5,YES,0," October 5, 2017",Alexander Pena,https://amazon.com//gp/profile/amzn1.account.AE5L4DFYAFGSAYUGMD33PX6APW3A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2UEDYMKAABXMZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Great very easy to use sturdy well worth the extra 8 bucks or so compared to cheaper umbrellas also great delivery
I returned this umbrella as it did not meet my ...,5,YES,0," August 10, 2017",Lori,https://amazon.com//gp/profile/amzn1.account.AG7ZE3FU32Y6PAIUT72QRGI24HLA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RFBREO7FWGWSV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,I returned this umbrella as it did not meet my travel needs...too big...too heavy. It appears to be a solid well made umbrella.
Five Stars,5,YES,0," April 6, 2018",girls girls girls,https://amazon.com//gp/profile/amzn1.account.AE7B36BAZMA6YMYQDMP4F3RXPM2A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2MKUKULG86YWM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,It was a gift to a friend
Very good quality. Using it in the Windy City,5,YES,0," June 25, 2017",Sue,https://amazon.com//gp/profile/amzn1.account.AHSCYXBPOA5S7SSG3NMT3IZWNHNA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2ZBUWO1OFXQPP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Very good quality . Using it in the Windy City.
Great deal for nice umbrella,5,YES,0," January 31, 2017",Johanna johnston,https://amazon.com//gp/profile/amzn1.account.AG3L64UO62AWWORFFA2JCWIKKXFA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2R7DHZ2KORKEQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Great umbrella! Sleek, sturdy and great quality and price."
Great umbrella overall and superb at this price,5,YES,0," June 6, 2017",Austen Durst,https://amazon.com//gp/profile/amzn1.account.AHTCZVYWZ6ALN43DVMO72FFE5OMQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R325MB8NGTOLDK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Very sturdy umbrella and just the right size.
Awesome umbrella!,5,YES,0," July 11, 2017",M_Grom,https://amazon.com//gp/profile/amzn1.account.AG7F2EWKE6O6X54CZZRQQT4WJ53Q/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RVI0JOCAYVLY4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I am very pleased with my Repel umbrella.  It's very light, super strong, and the perfect size to keep one person dry in a downpour.  I keep it in my work backpack all the time  since it's so compact."
Looks like it'll hold up well,5,YES,0," April 10, 2017",Gadget nut,https://amazon.com//gp/profile/amzn1.account.AHLEBNG3JOEO3YKNEPQ7N4R3IWBQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/ROE02QCV2PUCZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Fast mailing, and works well and it's light in weight. Looks like it'll hold up well."
Five Stars,5,YES,0," March 3, 2017",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AHCVH35Y3JP7LA7SEJQTQ3EDW4TA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2BRKND94OY1AR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,The Umbrella feels very sturdy and well built!
great,5,YES,0," December 29, 2016",Lovely,https://amazon.com//gp/profile/amzn1.account.AFCD3RMMFBX32GITUNOWEJW5B3GQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2UXFMNAKO4ZWX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Worked great.
Great size for traveling as it is nice and light,5,YES,0," December 2, 2017",Bobbie Thampson,https://amazon.com//gp/profile/amzn1.account.AG4SASTVA35UR7TVX4ISCACW2SEA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RL4JQWN9HR7CQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,I haven't had the need to use the umbrella yet but it is very well made and fits perfectly in a medium size handbag.Great size for traveling as it is nice and light. Good for male/female.
I am very happy with the purchase,5,YES,0," March 7, 2018",goodbuy567,https://amazon.com//gp/profile/amzn1.account.AHT2FMPX6NXDGXCFPK72YZ7FTUKA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RK9AY5LCM9DLK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Had an issue with my umbrella and contacted the Upper Eschelon Products. I received my replacement within 2 days and did not have to return anything. I am very happy with the purchase.
Versatile Umbrella,5,YES,0," January 14, 2017",DistinctD,https://amazon.com//gp/profile/amzn1.account.AHEZJQI3XWGYO2SZ6NQB2EJ5QADA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1LJSG6TURYRH9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,This umbrella is precisely what I needed for rain! The button allows for easy open and easy close when getting in the car. And it collapses to just the right size to fit in my purse or tote. Thanks for an awesome umbrella Repel!
Five Stars,5,YES,On," April 7, 2017",C. Pacciarini,https://amazon.com//gp/profile/amzn1.account.AH64EB7CR2P62ZKHNXCJZ2LY5JKQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3SDI2AKJA705N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Beautiful, high-quality product, and outstanding customer service and support."
So far very good. The auto open and close works well,4,YES,0," October 25, 2017",Charles N,https://amazon.com//gp/profile/amzn1.account.AESDGE53KJTO3DYI7H3IT4LSUVAA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3HU5Z1K166H72/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,So far very good. The auto open and close works well. Great for commuting when using transit. Has done well on the windy west coast.
Five Stars,5,YES,0," June 16, 2017",Steven J Richardson,https://amazon.com//gp/profile/amzn1.account.AEIR7RHDIA2V6I5OJXRGJVYXTVLA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2ON3W0Z7K8U66/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Best portable umbrella I've ever seen. have used it several times already, very pleased. Would buy again."
Worth the cost.,5,YES,On," October 4, 2016",Connor Halbrook,https://amazon.com//gp/profile/amzn1.account.AFNIJ6N32OQI467UUB5NIYVMD73A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R128QQDZH847V9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Just had my first rainy day experience with this product and I am extremely satisfied with the quality and durability of this umbrella. Definitely worth the buy.
Excellent umbrellas. Bought 3 after reading reviews,5,YES,0," September 2, 2017",Mary W,https://amazon.com//gp/profile/amzn1.account.AF5BMTIGX7DKVWJMLICNDDU2RXIA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RO0D8MZH2SAKP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Excellent umbrellas. Bought 3 after reading reviews. Used them last week during our rains from Harvey (obviously not in TX). Were outstanding. Everything that reviews said they would be. Very pleased.
Time will tell,4,YES,0," November 16, 2016",S,https://amazon.com//gp/profile/amzn1.account.AEPHIK5Y3DVYPUY4K6UQJHUATHRA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1L8TVGGO1SZSC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Upon initial inspection, this is a little smaller than I was anticipating. My wife and I have been sharing an umbrella by a company called Rainbrella. No idea where the umbrella came from, but it's great. It has a slightly bigger handle than the Repel Umbrella, and it has grooves in the handle to hold it better (I love this feature). I decided it's probably time to get my own umbrella, so I bought this based off of reviews. I am comparing the Repel with the Rainbrella, which is our favorite. Our old umbrella also has a longer height when extended (about 1.5-2 inches longer than the Repel). Width is not that big of a difference to really bother me, although the Repel is a tad smaller. I was a little disappointed that the height is shorter on the Repel but perhaps this is a good thing. The Repel folded up is a little shorter than the other one so it will fit in my bag better. I needed something small and unobtrusive to carry to work. I live in Chicago and I'm starting a job pretty close to the lake, so I wanted something pretty wind resistant. I was a little skeptical of the Repel because it seemed too good to be true and I have never heard of this company, but with 77% of people liking the product, I decided to give it a shot. It's a little pricey, but not much more than a Totes umbrella I bought a while back that was about $20.I will update when I actually test it."
Five Stars,5,YES,0," August 6, 2017",irishmom,https://amazon.com//gp/profile/amzn1.account.AGVJ3K7W6BLKS3O4F7VHUV5NPPWA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2O2NFPOS0KEPZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Works great and very sturdy against the elements!
It's a umbrella,5,YES,0," December 27, 2016",DayDay,https://amazon.com//gp/profile/amzn1.account.AGNSTHV3QARDAYC7HLHBUFQTXUUQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3EI0TNQDWY0XX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,It's a umbrella
"Works well, quality design!",5,YES,0," December 12, 2016",D. L.,https://amazon.com//gp/profile/amzn1.account.AGLQUXCNEVYJL7Q4MKHEVTLO33CQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RCBXXCKCY982S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Works well so far!
seems to be of good quality.,5,YES,0," August 12, 2017",S. Bamford,https://amazon.com//gp/profile/amzn1.account.AEBZ747PHAXYIBIBPYI2LMR43UJQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R14B6NXWY1NN5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Umbrella arrived well packaged on and time, seems to be of good quality."
Five Stars,5,YES,0," July 15, 2017",Robert J. Hart MD,https://amazon.com//gp/profile/amzn1.account.AEKVK3V5EAZO4WDK462XL5REA27A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1D2ZUG7I2PC5T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Well made, small, a little heavy. Not used yet!"
Very convenient!,5,YES,0," August 23, 2016",Jason R.,https://amazon.com//gp/profile/amzn1.account.AGDV7DWY7HVCTBEEMB2YMYMH4H3A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3S77N5CZDC5PI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,The wife loves it.  She can't get over how fast it dries.
Broke after a few uses,1,YES,0," February 13, 2018",Devesh Yadav,https://amazon.com//gp/profile/amzn1.account.AHOMKTMSMYUG7ARENF7HDTOYQYDA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2ILZBKWJYS5HD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Broke only after a few uses. Not worth the money
Five Stars,5,YES,0," April 11, 2016",Dr. Timothy Gallagher,https://amazon.com//gp/profile/amzn1.account.AHU6TJL3HMIBXJBMIBI64MLOGZDQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2H1HR2K48BIN4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I posted a review a while back that the umbrella didn't close well.  I have to say I'm super impressed, the manufacturer contacted me and apologized, my umbrella had a defect and they sent me a new one right away.  THIS IS THE BEST UMBRELLA EVER!!!!! (Can't believe I'm so excited about an umbrella but this one is great!) Super quality, highly recommended!!!!!"
Great Umbrella,5,YES,0," July 12, 2016",Ann,https://amazon.com//gp/profile/amzn1.account.AGBN4SJTAOVALPEYRWUKI45G7RLQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R518BCQQA517B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Bought this for my daughter that is in college.  Great size.  She can easily fit it in her back pack. She loves it!
Four Stars,4,YES,0," March 13, 2017",t,https://amazon.com//gp/profile/amzn1.account.AFKIDJG2HLSL2ORJIR3JPAYWQODQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2J3KMC9ESG49R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,seem's well made.
Amazing Umbrella!,5,YES,0," January 8, 2017",Mike,https://amazon.com//gp/profile/amzn1.account.AHSYSEKRL56WIND27QLBPVA5DJZQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2DU8KVYSSTEIC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Amazing Umbrella!! I'm in NYC five days a week and this has worked out great so far. It's the perfect size for traveling. I would definitely buy again.
